anatomy,acceleration,metric,competitor,n_slices,mean_ours,mean_competitor,median_diff,ci95_low,ci95_high,median_diff_pp,ci95_low_pp,ci95_high_pp,cohens_d,d_ci_low,d_ci_high,rank_biserial,wilcoxon_p,ttest_p,direction
all_knee,4,nrmse,diffusion+loupe,551,0.07550143898785927,0.09151135247485845,0.014573353748176199,0.013753397569691808,0.014993696752826191,,,,1.5582672106187672,1.4336398801513477,1.682215217916351,1.0,5.95853420474303e-92,2.038126998076498e-149,ours_better
all_knee,8,nrmse,diffusion+loupe,551,0.08962398853298964,0.10389778661034896,0.012904751058179384,0.01199942095009171,0.013513664970139394,,,,1.40162823473126,1.2836933762855864,1.5188882426674457,0.998395539072569,1.1582956922646538e-91,4.8688667998370736e-132,ours_better
all_knee,12,nrmse,diffusion+loupe,551,0.09747118795315739,0.10962826836592951,0.010363500145014193,0.009941482246136599,0.011040608945511315,,,,1.2872310536205192,1.173957338881112,1.3998379104002585,0.9978957889476314,1.4244327141894823e-91,6.195609020568781e-119,ours_better
all_knee,16,nrmse,diffusion+loupe,551,0.10323816898632482,0.11440540841133462,0.009245569836068696,0.008876875518305398,0.009837121277730704,,,,1.2694716975319,1.156902645415321,1.3813755668503542,0.9999868486809227,5.991113420334562e-92,7.151530644440388e-117,ours_better
all_knee,20,nrmse,diffusion+loupe,551,0.10790352974809833,0.11849687147801015,0.008818785824104891,0.00833741246758321,0.009407612331345697,,,,1.2554024447696084,1.1433878352088291,1.3667532896414145,0.9999342434046135,6.123216998377633e-92,3.112278031558072e-115,ours_better
all_knee,4,nrmse,diffusion+poisson,551,0.07550143898785927,0.08004984523854101,0.004305271087961499,0.004033876947298301,0.004593843462709003,,,,1.7899167741294244,1.6548396870323892,1.924317397050139,0.9986191114968831,1.0558961392339538e-91,8.379386822163952e-174,ours_better
all_knee,8,nrmse,diffusion+poisson,551,0.08962398853298964,0.09766899983804851,0.007927469934227195,0.0075033929786213,0.00843356441383479,,,,1.5960303118355197,1.469741424454964,1.7216396883921206,0.9792077645387832,3.0227466376833587e-88,1.6782741078034012e-153,ours_better
all_knee,12,nrmse,diffusion+poisson,551,0.09747118795315739,0.1098674469440306,0.012655508431304002,0.012023732027453195,0.013518368515800905,,,,1.6584744311810493,1.5294005646128819,1.7868690959081368,0.9800099950024987,2.1821158343121637e-88,3.6614381374032126e-160,ours_better
all_knee,16,nrmse,diffusion+poisson,551,0.10323816898632482,0.1189687871216474,0.016344070453790896,0.015431295938961406,0.017357644797752925,,,,1.7063877531073277,1.5751468936340287,1.836950111313198,0.9830874036665878,6.2360985133484006e-89,3.399719892998076e-165,ours_better
all_knee,20,nrmse,diffusion+poisson,551,0.10790352974809833,0.12315991314237003,0.015870383228984,0.015049586646884598,0.016739959348261807,,,,1.5826100526778728,1.4569136578602597,1.7076269690316777,0.970185959651753,1.1588452343329847e-86,4.694206438296252e-152,ours_better
all_knee,4,psnr,diffusion+loupe,551,39.58595185251843,37.254761321545054,1.7180631886848303,1.5960685682654798,1.8680370331384921,,,,1.2946884282645075,1.1811172417462739,1.4075920906773096,1.0,5.95853420474303e-92,8.476123684994312e-120,ours_better
all_knee,8,psnr,diffusion+loupe,551,37.495610254933354,35.91679305020509,1.2019206067004689,1.1217440608773401,1.2694558942844125,,,,1.1831517384008925,1.0739294690905108,1.291718878797084,0.9880191483205766,8.31065927159408e-90,9.3489705658341e-107,ours_better
all_knee,12,psnr,diffusion+loupe,551,36.453628954989675,35.25624897676792,0.893601982221,0.844410505535091,0.9610411604169613,,,,1.1252460925602201,1.0181919720258912,1.2316537895985697,0.9869012861990057,1.3134504604203105e-89,6.76095900207944e-100,ours_better
all_knee,16,psnr,diffusion+loupe,551,35.75216593975631,34.70836345102028,0.7725286885711,0.7368954003928465,0.8194414892575814,,,,1.1775646867499823,1.0685543916838582,1.2859206204714364,0.9995923091086036,7.055637683342841e-92,4.2688718223472633e-106,ours_better
all_knee,20,psnr,diffusion+loupe,551,35.19043995357409,34.27369134170174,0.6943585767072378,0.6597799795083787,0.7387793234134605,,,,1.1605864534862698,1.0522167185276368,1.2683042525690653,0.9986848680922696,1.0275346732202554e-91,4.342275266548869e-104,ours_better
all_knee,4,psnr,diffusion+poisson,551,39.58595185251843,39.01931198660064,0.4450013865252558,0.40730090772982663,0.48606211255467,,,,1.1885714525494147,1.0791430028883202,1.2973440429523906,0.9898208790341672,3.969907993815141e-90,2.1452325540077423e-107,ours_better
all_knee,8,psnr,diffusion+poisson,551,37.495610254933354,36.75146792516852,0.6640489389615567,0.599590163498263,0.7421418832996451,,,,1.0632475563092787,0.9584413057516684,1.1674186673961817,0.8933559536021463,9.106606262815343e-74,1.663253914299107e-92,ours_better
all_knee,12,psnr,diffusion+poisson,551,36.453628954989675,35.362678167415034,1.032850240223894,0.9499761690080675,1.147070163412934,,,,1.2331152988635037,1.1219719716713643,1.343597278204303,0.9264709750387964,3.395599992246956e-79,1.2513890094107806e-112,ours_better
all_knee,16,psnr,diffusion+poisson,551,35.75216593975631,34.434234004050275,1.3106772919550806,1.1919789924293838,1.44623107714294,,,,1.365333681878405,1.248899781152254,1.4810947759380262,0.9476182961151003,9.152205291232138e-83,6.452992420284688e-128,ours_better
all_knee,20,psnr,diffusion+poisson,551,35.19043995357409,34.04436932265709,1.156241177700231,1.0275861960237762,1.267869526668747,,,,1.1946655141370808,1.0850045812708808,1.3036697831055546,0.9070596280806965,5.45481664701e-76,4.104395092033913e-108,ours_better
all_knee,4,ssim,diffusion+loupe,551,0.9211984489655172,0.9087607302359346,0.011275360000000068,0.010516830000000033,0.011938549999999992,1.1275360000000068,1.0516830000000033,1.1938549999999992,1.6142880597656133,1.4871896224181824,1.7407070003801293,0.9994870985559852,7.370085979802039e-92,1.8417601590770384e-155,ours_better
all_knee,8,ssim,diffusion+loupe,551,0.8918415107078039,0.8829117120326678,0.008606239999999987,0.007820600000000066,0.009337929999999939,0.8606239999999987,0.7820600000000066,0.9337929999999939,1.1986628333364804,1.088849035132853,1.3078194492929989,0.9406086430468976,1.424099175155596e-81,1.3883365277539099e-108,ours_better
all_knee,12,ssim,diffusion+loupe,551,0.8755146583484574,0.8694323042649728,0.0056045500000000414,0.005006200000000072,0.006343940000000048,0.5604550000000041,0.5006200000000072,0.6343940000000048,0.9397665559652609,0.8391912363229904,1.0397360823833037,0.8511270680449249,3.952654851226613e-67,9.977839761112716e-78,ours_better
all_knee,16,ssim,diffusion+loupe,551,0.8638274133938294,0.859153655154265,0.0042295999999999445,0.003886500000000015,0.004552139999999927,0.42295999999999445,0.3886500000000015,0.4552139999999927,0.779313843189326,0.6836873120708185,0.8743886866498939,0.7949051789894527,8.676384750709066e-59,9.55999481556026e-59,ours_better
all_knee,20,ssim,diffusion+loupe,551,0.8538204821960073,0.8503508857894737,0.0029953600000000025,0.0026144399999999957,0.0034503999999999646,0.29953600000000025,0.26144399999999957,0.34503999999999646,0.5515258738277008,0.4616764109817853,0.6409368884628162,0.6022515058260344,1.7123904039663084e-34,1.1920293699569895e-33,ours_better
all_knee,4,ssim,diffusion+poisson,551,0.9211984489655172,0.9177468221960072,0.003050500000000067,0.0026731399999999628,0.0033402000000000154,0.3050500000000067,0.2673139999999963,0.33402000000000154,1.0593714078172742,0.9547030602138535,1.1634053934934012,0.9099529182777033,1.8332501036705765e-76,4.832892380212308e-92,ours_better
all_knee,8,ssim,diffusion+poisson,551,0.8918415107078039,0.8865703199818511,0.004111759999999909,0.0035018399999999783,0.004935259999999997,0.4111759999999909,0.35018399999999783,0.4935259999999997,0.7634449760329318,0.668270839419598,0.858073870857177,0.7353428548883453,1.4398400621400892e-50,6.624961869777338e-57,ours_better
all_knee,12,ssim,diffusion+poisson,551,0.8755146583484574,0.8662681091470055,0.00795804,0.006782600000000083,0.009010839999999964,0.795804,0.6782600000000083,0.9010839999999964,0.939890577168903,0.8393111828912898,1.0398641437351117,0.8412372760987927,1.2741412751380603e-65,9.642920666008377e-78,ours_better
all_knee,16,ssim,diffusion+poisson,551,0.8638274133938294,0.8512201929582577,0.011254700000000062,0.010088099999999933,0.012587050000000044,1.1254700000000062,1.0088099999999933,1.2587050000000044,1.085507346040759,0.9799030699494398,1.1904721850386755,0.8973539546016466,2.062539787059261e-74,3.655437474002446e-95,ours_better
all_knee,20,ssim,diffusion+poisson,551,0.8538204821960073,0.8421503818693284,0.010023710000000019,0.00886975000000001,0.01153928000000004,1.002371000000002,0.886975000000001,1.153928000000004,0.8840703975046527,0.7852872853738971,0.9822643042772471,0.8027302138404482,6.475294985252364e-60,4.3907163471626e-71,ours_better
pd_knee,4,nrmse,diffusion+loupe,281,0.03902553869875457,0.06139756781052961,0.020243027919858204,0.018664399926521198,0.022239694145928593,,,,1.5198875830169705,1.3474617158039592,1.6909828893242862,1.0,7.808561906109309e-48,6.711790813787321e-75,ours_better
pd_knee,8,nrmse,diffusion+loupe,281,0.05140055153507862,0.07186338226453978,0.017811394885232902,0.0158228912308363,0.019764505043593804,,,,1.4181439871872183,1.251791405888129,1.5831719535458983,1.0,7.808561906109309e-48,3.958794770002488e-69,ours_better
pd_knee,12,nrmse,diffusion+loupe,281,0.059483897982005804,0.07912442675487902,0.016780923456876,0.015491823381991399,0.0188445574632692,,,,1.4138824125493323,1.24777978186193,1.5786608023307338,1.0,7.808561906109309e-48,6.957742813182708e-69,ours_better
pd_knee,16,nrmse,diffusion+loupe,281,0.06589740260855721,0.08509509422535727,0.0167148670875351,0.015467501226918604,0.0175898817867495,,,,1.4892658886942183,1.3186887027959882,1.6585137332140907,1.0,7.808561906109309e-48,3.531640807036835e-73,ours_better
pd_knee,20,nrmse,diffusion+loupe,281,0.07102804182974717,0.09068212025457098,0.01676253573068351,0.01519198872241831,0.018531405365620396,,,,1.3860003181883422,1.2215238234612422,1.5491552918539562,1.0,7.808561906109309e-48,2.8243778599689723e-67,ours_better
pd_knee,4,nrmse,diffusion+poisson,281,0.03902553869875457,0.04435205313587752,0.004778570298913605,0.004302956678428199,0.0054350863454544,,,,1.6157363797361892,1.437415821071362,1.7927252940227236,1.0,7.808561906109309e-48,3.385386802716927e-80,ours_better
pd_knee,8,nrmse,diffusion+poisson,281,0.05140055153507862,0.059149616903881576,0.006869651835534701,0.005831612646664798,0.008175107977496703,,,,1.2516722615955127,1.0947925889596046,1.4072509648957303,0.9659776381211983,9.416907055272143e-45,2.1845866771581094e-59,ours_better
pd_knee,12,nrmse,diffusion+poisson,281,0.059483897982005804,0.07099007502617752,0.0107357176400118,0.009174076670792695,0.012354392636394998,,,,1.1861719801437454,1.0328421958136125,1.338216013908796,0.9249892733651347,3.5146901615768137e-41,1.8180497468320503e-55,ours_better
pd_knee,16,nrmse,diffusion+poisson,281,0.06589740260855721,0.08043303873110332,0.014170699818126603,0.012427356915159796,0.015671805771694095,,,,1.3161894284083364,1.1557118024480109,1.4753545718155197,0.9542161984806037,1.0340735101473885e-43,3.3346575518477034e-63,ours_better
pd_knee,20,nrmse,diffusion+poisson,281,0.07102804182974717,0.084572827639843,0.012823576423736396,0.010610341997194794,0.015455178275478196,,,,1.0896650030758543,0.941361252510854,1.236712858271446,0.8846066479897025,8.226973342240327e-38,1.2651287510109531e-49,ours_better
pd_knee,4,psnr,diffusion+loupe,281,43.14521462939942,39.018593845959884,4.085833170730922,3.753854949836395,4.396203384452775,,,,1.860745849913755,1.6667003289347793,2.053471049366869,1.0,7.808561906109309e-48,4.216488863550499e-93,ours_better
pd_knee,8,psnr,diffusion+loupe,281,40.27272179947648,37.407214460873476,2.7966716884282192,2.5583049062850876,2.9386487087737763,,,,1.7269019160521795,1.541555491144839,1.9109197465490717,1.0,7.808561906109309e-48,3.6356202826130265e-86,ours_better
pd_knee,12,psnr,diffusion+loupe,281,38.72404147056406,36.363339984008235,2.255130706866808,2.090875585419674,2.3767925787648707,,,,1.7340548265147686,1.5482498650991845,1.9185315218302286,1.0,7.808561906109309e-48,1.5240111669560097e-86,ours_better
pd_knee,16,psnr,diffusion+loupe,281,37.77235501816321,35.616837471719776,2.0194924675652715,1.8675116079377219,2.122721899403622,,,,2.00163385955666,1.7981828531564439,2.2037770423460814,1.0,7.808561906109309e-48,4.1403828691307413e-100,ours_better
pd_knee,20,psnr,diffusion+loupe,281,36.93342654853683,34.99969164179899,1.8137279321923643,1.6662898341685093,1.9040124301542747,,,,1.6903914343679143,1.5073736541785834,1.8720791771307335,1.0,7.808561906109309e-48,3.1632749736090594e-84,ours_better
pd_knee,4,psnr,diffusion+poisson,281,43.14521462939942,42.13663051742501,0.8627690313379759,0.7558833814547441,1.0020970205399848,,,,1.6128518374564618,1.4347109694866549,1.7896610387903369,0.9999495217182807,7.89261686837343e-48,4.864139600019044e-80,ours_better
pd_knee,8,psnr,diffusion+poisson,281,40.27272179947648,39.324990592951124,0.8475289488352047,0.6379018020837748,1.0251323730470148,,,,1.02207162019625,0.877131317403307,1.1657829324474176,0.8686050326846874,1.618902215023633e-36,1.6789891587037858e-45,ours_better
pd_knee,12,psnr,diffusion+poisson,281,38.72404147056406,37.51289217353286,1.1873570044463122,0.960131279551284,1.4772879353160562,,,,0.9489933286063861,0.8075320494557356,1.0892609726692375,0.8137351404558189,2.9453844885460997e-32,4.908213466751585e-41,ours_better
pd_knee,16,psnr,diffusion+poisson,281,37.77235501816321,36.28743387903922,1.5787873097411165,1.3763226487769629,1.8098986175210499,,,,1.2200459888972577,1.064893728737388,1.3739041570326895,0.906261830847278,1.3394080071171628e-39,1.6862178228493295e-57,ours_better
pd_knee,20,psnr,diffusion+poisson,281,36.93342654853683,35.78288823277322,1.2367415341483223,0.9373208517104388,1.40960954347986,,,,0.8511607934173951,0.7140801417589929,0.9871064928696103,0.7595719441710204,2.542827845322823e-28,4.3715415264521043e-35,ours_better
pd_knee,4,ssim,diffusion+loupe,281,0.9692915774377224,0.9548069191814947,0.011786399999999975,0.010764369999999968,0.012731600000000065,1.1786399999999975,1.0764369999999968,1.2731600000000065,1.2301002978039555,1.074401543326147,1.3845026810838839,1.0,7.808561906109309e-48,4.224006535199334e-58,ours_better
pd_knee,8,ssim,diffusion+loupe,281,0.9498109047330962,0.9367747607473308,0.010381100000000032,0.009377350000000062,0.011628040000000062,1.0381100000000032,0.9377350000000062,1.1628040000000062,1.134071981694157,0.9834870056894924,1.283386149061477,0.9995961737462457,8.506761465762249e-48,2.5437564272195112e-52,ours_better
pd_knee,12,ssim,diffusion+loupe,281,0.9365340986476869,0.9233082202846973,0.010320769999999979,0.009544699999999962,0.011668600000000029,1.032076999999998,0.9544699999999962,1.166860000000003,1.196261682880207,1.0423921108713345,1.348842910676286,0.9988894778021756,9.881355797703936e-48,4.498046751447075e-56,ours_better
pd_knee,16,ssim,diffusion+loupe,281,0.9276233296797153,0.9125019449822064,0.012923699999999982,0.011848799999999993,0.013752250000000021,1.2923699999999982,1.1848799999999993,1.3752250000000021,1.522699586256675,1.3501030878669893,1.693965434490055,1.0,7.808561906109309e-48,4.671707336327454e-75,ours_better
pd_knee,20,ssim,diffusion+loupe,281,0.9179918834875446,0.9034225445551601,0.012401459999999975,0.010865540000000062,0.013158530000000002,1.2401459999999975,1.0865540000000062,1.3158530000000002,1.3078810750482328,1.1478721915062995,1.466578779595812,0.9953559980818253,2.0863840195127465e-47,1.027473104521358e-62,ours_better
pd_knee,4,ssim,diffusion+poisson,281,0.9692915774377224,0.9658456838434165,0.0025848000000000537,0.002249439999999936,0.0029868499999999854,0.25848000000000537,0.2249439999999936,0.29868499999999854,1.0769396802875266,0.9292793784464817,1.2233487525041802,0.9980818252946669,1.1724820151494212e-47,7.532740404819224e-49,ours_better
pd_knee,8,ssim,diffusion+poisson,281,0.9498109047330962,0.9446806301779358,0.0029166999999999943,0.00229020000000002,0.0042666499999999274,0.29166999999999943,0.229020000000002,0.42666499999999274,0.7166637525898595,0.5850352022844457,0.8472617890044805,0.7499305923626359,1.1967101659135376e-27,4.302692728957382e-27,ours_better
